episode,year,return,avg_loss,epsilon,yield,water,buffer_size,eval_avg_return,eval_std_return,eval_avg_water,eval_avg_yield,eval_n_eval
153,2014,357.4288330078125,1563.6679153442383,0.050000000000000044,656.9288330078125,2995.0,18738,,,,,
154,2001,105.51431274414062,1296.9721782623776,0.050000000000000044,416.0143127441406,3105.0,18864,,,,,
155,2001,75.58230590820312,1712.120804983472,0.050000000000000044,417.0823059082031,3415.0,18990,,,,,
156,2011,397.59014892578125,1281.9914516448976,0.050000000000000044,725.0901489257812,3275.0,19110,,,,,
157,2010,442.21923828125,1271.5213537295003,0.050000000000000044,787.21923828125,3450.0,19231,,,,,
158,2015,388.01043701171875,1679.6984692741844,0.050000000000000044,673.5104370117188,2855.0,19350,,,,,
159,2021,-126.58474731445312,1927.212176322937,0.050000000000000044,234.91525268554688,3615.0,19486,,,,,
160,2019,91.85061645507812,1374.8093055311099,0.050000000000000044,381.3506164550781,2895.0,19615,,,,,
161,2010,422.84844970703125,1278.6958841371143,0.050000000000000044,729.3484497070312,3065.0,19736,,,,,
162,2002,221.6431884765625,1392.4744582637663,0.050000000000000044,542.1431884765625,3205.0,19860,,,,,
163,2007,1100.8785400390625,1487.3887694808077,0.050000000000000044,1415.3785400390625,3145.0,19981,,,,,
164,2020,309.28057861328125,1277.9937801048404,0.050000000000000044,625.2805786132812,3160.0,20103,,,,,
165,2019,104.71090698242188,1135.9651181716326,0.050000000000000044,394.2109069824219,2895.0,20232,,,,,
166,2021,-58.926483154296875,1184.9641270918005,0.050000000000000044,248.57351684570312,3075.0,20368,,,,,
167,2009,179.00393676757812,984.3775557875633,0.050000000000000044,494.0039367675781,3150.0,20496,,,,,
168,2019,56.918060302734375,1114.6549003660216,0.050000000000000044,371.4180603027344,3145.0,20625,,,,,
169,2003,175.75582885742188,1510.5981702335546,0.050000000000000044,466.2558288574219,2905.0,20747,,,,,
170,2016,517.6121215820312,937.8250349060563,0.050000000000000044,835.1121215820312,3175.0,20868,,,,,
171,2016,585.7646484375,1360.3357709143772,0.050000000000000044,885.2646484375,2995.0,20989,,,,,
172,2019,104.46054077148438,1022.8317093664361,0.050000000000000044,376.4605407714844,2720.0,21118,,,,,
173,2002,192.81619262695312,885.9354585832165,0.050000000000000044,506.3161926269531,3135.0,21242,,,,,
174,2003,158.41921997070312,1204.456503602325,0.050000000000000044,467.9192199707031,3095.0,21364,,,,,
175,2010,397.46490478515625,1420.4469044582902,0.050000000000000044,714.9649047851562,3175.0,21485,170.46051025390625,4.108306884765625,1505.0,320.96051025390625,2.0
176,2004,836.322021484375,1330.0570724674913,0.050000000000000044,1146.322021484375,3100.0,21607,,,,,
177,2003,142.95205688476562,1479.1694162087363,0.050000000000000044,438.9520568847656,2960.0,21729,,,,,
178,2010,470.1043701171875,1286.5370903645664,0.050000000000000044,789.6043701171875,3195.0,21850,,,,,
179,2001,121.12960815429688,1509.715396517799,0.050000000000000044,409.1296081542969,2880.0,21976,,,,,
180,2004,716.3896484375,1451.9629970300393,0.050000000000000044,1039.3896484375,3230.0,22098,,,,,
181,2003,172.97671508789062,908.7305832221859,0.050000000000000044,440.9767150878906,2680.0,22220,,,,,
182,2002,198.92361450195312,1207.6441092952605,0.050000000000000044,487.4236145019531,2885.0,22344,,,,,
183,2007,990.2298583984375,1177.1209822410394,0.050000000000000044,1301.2298583984375,3110.0,22465,,,,,
184,2013,757.3597412109375,970.4636199110645,0.050000000000000044,1023.8597412109375,2665.0,22583,,,,,
185,2005,139.40646362304688,1570.6136342940792,0.050000000000000044,467.9064636230469,3285.0,22707,,,,,
186,2021,-72.03384399414062,1039.4132253983441,0.050000000000000044,234.46615600585938,3065.0,22843,,,,,
187,2018,292.354736328125,1624.8921545705487,0.050000000000000044,635.854736328125,3435.0,22967,,,,,
188,2008,181.35031127929688,1289.731966747501,0.050000000000000044,461.3503112792969,2800.0,23090,,,,,
189,2019,73.38931274414062,1307.3614907079889,0.050000000000000044,396.8893127441406,3235.0,23219,,,,,
190,2004,756.92333984375,1049.2329619673433,0.050000000000000044,1041.42333984375,2845.0,23341,,,,,
191,2010,402.02825927734375,600.8849315485678,0.050000000000000044,692.0282592773438,2900.0,23462,,,,,
192,2003,190.26211547851562,891.1668439771308,0.050000000000000044,460.2621154785156,2700.0,23584,,,,,
193,2008,131.24063110351562,823.7923740759129,0.050000000000000044,420.2406311035156,2890.0,23707,,,,,
194,2002,177.13790893554688,1449.4059578064948,0.050000000000000044,453.1379089355469,2760.0,23831,,,,,
195,2015,295.2281494140625,892.4756903768588,0.050000000000000044,582.2281494140625,2870.0,23950,,,,,
196,2015,334.52734375,1101.3906710648737,0.050000000000000044,602.02734375,2675.0,24069,,,,,
197,2008,165.31918334960938,1071.1313393445519,0.050000000000000044,450.3191833496094,2850.0,24192,,,,,
198,2005,176.93789672851562,976.755305997787,0.050000000000000044,470.4378967285156,2935.0,24316,,,,,
199,2003,181.33639526367188,1163.5594212891626,0.050000000000000044,472.3363952636719,2910.0,24438,,,,,
200,2013,710.6187133789062,1130.1260843115338,0.050000000000000044,1012.1187133789062,3015.0,24556,324.5761413574219,5.912841796875,400.0,364.5761413574219,2.0
